simulation_id,timestamp,source_node_id,destination_node_id,rssi,packet_loss,latency,throughput,link_quality,node_distance,mobility_speed,link_active
34,0,2,5,27.546864617183132,0.7245313538281687,48.071287205591915,7.58829750237416,0.2754686461718313,136.8943902836696,8.842578771372597,true
34,0,4,10,0.6838649818274867,0.9931613501817251,69.50325983167184,0.004676713133699086,0.006838649818274867,296.9038464517116,5.06664745080821,true
34,0,4,5,4.79006933385488,0.9520993066614512,66.22281782048564,0.22944764223136957,0.047900693338548794,272.3570497482617,7.787550415281126,true
34,0,3,4,21.186194797129588,0.7881380520287041,53.136469785707874,4.488548499819208,0.21186194797129587,174.5913436854533,7.401116073765446,true
34,0,2,6,0.8664754696824928,0.9913352453031751,69.3573566835426,0.0075077973956149645,0.008664754696824928,295.8118883676771,8.01495558673124,true
34,0,1,5,3.4773434532280434,0.9652265654677196,67.27146752560873,0.12091917491707933,0.034773434532280434,280.2027850444551,6.885534069805626,true
34,0,6,9,39.68769509799383,0.6031230490200616,38.47262879330471,15.751131421913238,0.3968769509799383,66.32952684603255,4.466288667405243,true
34,1,6,9,41.0870980313846,0.589129019686154,37.38234654818253,16.88149624640608,0.410870980313846,58.51791127749656,4.466288667405243,true
34,1,4,5,2.561729756767112,0.9743827024323288,68.00294005440696,0.065624593467061,0.025617297567671116,285.6760986558105,7.787550415281126,true
34,1,3,4,21.270630516183648,0.7872936948381635,53.06916599722665,4.5243972255600315,0.21270630516183647,174.0896251063696,7.401116073765446,true
34,1,2,5,29.901449814449023,0.7009855018555098,46.19979769478643,8.940967010060135,0.2990144981444902,123.0104520402189,8.842578771372597,true
34,1,1,5,5.07675918724308,0.9492324081275691,65.99381201550267,0.25773483845257045,0.050767591872430795,270.64383218248435,6.885534069805626,true
34,2,4,5,1.525639023386971,0.9847436097661303,68.83070595584736,0.023275744296811507,0.01525639023386971,291.8705093508169,7.787550415281126,true
34,2,1,5,7.362806604477068,0.9263719339552293,64.16789740315225,0.5421092109493113,0.07362806604477068,256.9860141078157,6.885534069805626,true
34,2,2,5,28.180953399902307,0.7181904660009769,47.56705193504466,7.941661345274655,0.2818095339990231,133.1505726999162,8.842578771372597,true
