simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,5,4,0.000000,4.362699,100.000000,14.155447,0.858446,58.744625,0.000000,0,0.000000,0.141554,6.030497
35,5,5,5.796036,0.000000,100.000000,18.164120,0.818359,55.547970,0.000000,1,0.000000,0.181641,9.434349
35,5,6,9.707307,4.346867,100.000000,22.131987,0.778680,52.400413,0.000000,0,833.000000,0.221320,6.511675
35,5,7,4.306461,2.074570,100.000000,18.001427,0.819986,55.699547,0.000000,0,0.000000,0.180014,8.286927
35,5,8,0.000000,4.423097,100.000000,13.848843,0.861512,58.989480,0.000000,1,2601.000000,0.138488,9.902659
35,5,9,1.754558,0.000000,100.000000,15.847528,0.841525,57.394392,1.000000,0,1026.000000,0.158475,1.194532
35,5,10,4.968940,5.498317,100.000000,14.155447,0.858446,58.744625,0.000000,0,0.000000,0.141554,3.679274
35,6,1,1.198692,0.941130,100.000000,22.924629,0.770754,51.751059,0.000000,0,0.000000,0.229246,1.760948
35,6,2,6.671165,1.359713,100.000000,15.882042,0.841180,57.366820,0.000000,1,0.000000,0.158820,4.414506
35,6,3,9.467199,1.938719,100.000000,8.269374,0.917306,63.444942,0.000000,2,656.000000,0.082694,3.953289
35,6,4,0.000000,2.902505,100.000000,14.002503,0.859975,58.866692,0.000000,0,340.000000,0.140025,6.030497
35,6,5,1.907088,0.000000,100.000000,18.067658,0.819323,55.624070,1.000000,1,0.000000,0.180677,9.434349
35,6,6,12.602117,6.984410,100.000000,21.671822,0.783282,52.766223,0.000000,1,1848.000000,0.216718,6.511675
35,6,7,8.924334,4.420159,100.000000,17.046149,0.829539,56.461046,0.000000,0,0.000000,0.170461,8.286927
35,6,8,0.000000,2.949132,100.000000,14.567088,0.854329,58.416102,0.000000,1,0.000000,0.145671,9.902659
35,6,9,1.102845,1.897535,100.000000,16.106557,0.838934,57.187672,1.000000,0,603.000000,0.161066,1.194532
35,6,10,2.522033,5.012528,100.000000,14.002503,0.859975,58.866692,0.000000,0,0.000000,0.140025,3.679274
35,7,1,5.074064,3.358676,100.000000,22.371854,0.776281,52.191512,0.000000,1,656.000000,0.223719,1.760948
35,7,2,4.429699,0.000000,100.000000,16.270238,0.837298,57.057207,0.000000,2,1423.000000,0.162702,4.414506
35,7,3,8.997056,4.900088,100.000000,12.763199,0.872368,59.856369,2.000000,1,771.000000,0.127632,3.953289
35,7,4,0.000000,4.578624,100.000000,13.032320,0.869677,59.641065,0.000000,0,0.000000,0.130323,6.030497
35,7,5,3.304404,0.989635,100.000000,18.952678,0.810473,54.917763,0.000000,2,1415.000000,0.189527,9.434349
35,7,6,17.009245,8.673972,100.000000,20.666038,0.793340,53.564212,0.000000,1,0.000000,0.206660,6.511675
